index,exposed_205pop_density,exposed_205pop_density_3000m,exposed_210pop_density,exposed_210pop_density_3000m
dac,"1.511***/n[1.231,1.855]","1.685***/n[1.427,1.989]","1.501***/n[1.232,1.828]","1.603***/n[1.344,1.911]"
pct_novote,"1.303***/n[1.137,1.493]","1.377***/n[1.240,1.528]","1.359***/n[1.205,1.533]","1.398***/n[1.254,1.558]"
est_pct_poverty,"1.260***/n[1.140,1.393]","1.304***/n[1.200,1.417]","1.272***/n[1.162,1.392]","1.271***/n[1.170,1.381]"
est_pct_renters,"1.477***/n[1.371,1.592]","1.445***/n[1.323,1.577]","1.414***/n[1.317,1.518]","1.386***/n[1.280,1.501]"
est_pct_poc,"0.993/n[0.830,1.189]","1.038/n[0.899,1.200]","1.083/n[0.942,1.245]","1.162**/n[1.026,1.315]"
est_pct_latinx,"1.213***/n[1.078,1.365]","1.190**/n[1.016,1.393]","1.215***/n[1.081,1.366]","1.204**/n[1.022,1.419]"
est_pct_nhblack,"0.900/n[0.765,1.059]","0.945/n[0.794,1.124]","0.986/n[0.874,1.113]","1.086/n[0.953,1.237]"
est_pct_asianpi,"0.924**/n[0.858,0.995]","0.999/n[0.886,1.126]","0.924/n[0.851,1.003]","0.912**/n[0.832,0.999]"
est_pct_native,"1.004/n[0.960,1.049]","1.015/n[0.980,1.050]","1.021/n[0.988,1.055]","1.018/n[0.987,1.051]"
est_pct_otherpoc,"1.013/n[0.956,1.074]","0.946/n[0.873,1.025]","0.993/n[0.947,1.042]","0.975/n[0.934,1.018]"
est_pct_langisolation,"1.193***/n[1.092,1.304]","1.248***/n[1.121,1.389]","1.192***/n[1.088,1.305]","1.173***/n[1.060,1.299]"
est_pct_nocar,"1.421***/n[1.278,1.581]","1.475***/n[1.251,1.739]","1.351***/n[1.213,1.505]","1.405***/n[1.202,1.644]"
est_pct_singparents,"0.992/n[0.892,1.103]","1.018/n[0.937,1.107]","1.050/n[0.971,1.134]","1.081**/n[1.011,1.156]"
est_pct_elderly,"1.187***/n[1.143,1.233]","1.197***/n[1.140,1.257]","1.147***/n[1.110,1.185]","1.174***/n[1.126,1.224]"
est_pct_under18,"0.898***/n[0.845,0.954]","0.912***/n[0.860,0.967]","0.925***/n[0.875,0.977]","0.927***/n[0.877,0.979]"
